# generated by .xlsx-source/extract.py from armordata + armorparam base/max + gmtreks.com resistances (87/87 matched) on 2026-04-19
# schema: name|non_elem_res|fire_res|water_res|thunder_res|ice_res|dragon_res|skill|base_defense|max_defense|max_slots|max_level|rarity|recipe|description
Leather Armor|neutral|neutral|resist|neutral|neutral|neutral|PS_034_00 (Synchronize (S))|20|54|2|3|1|4|Armor made from light materials using leather as a base. Responds flexibly to any situation.
Hunter Armor|neutral|neutral|neutral|neutral|resist|neutral|PS_012_00 (Non-Elem Def Boost (S))|20|54|2|3|1|0|Armor worn universally by Hunters. Made with strong metals and sturdy but pliable hide.
Bone Armor|neutral|neutral|neutral|resist|neutral|neutral|PS_006_00 (Non-Elem Atk Boost (S))|20|54|2|3|1|0|Armor made from tough bone. Boasts a high defensive power despite the wild design choices.
Alloy Armor|resist|neutral|neutral|weak|neutral|neutral|PS_008_00 (Water Atk Boost (S))|42|68|2|3|1|0|Armor made from high-quality ore. Designed for functionality, free from superfluous additions.
Kululu Armor|neutral|neutral|weak|neutral|resist|neutral|PS_040_00 (Slugger (S))|68|118|3|3|1|0|Armor optimized for hot and arid environments, decorated with large Kulu-Ya-Ku feathers.
Pukei-Pukei Armor|neutral|neutral|high_resist|extra_weak|neutral|neutral|PS_050_00 (Item Saver (S))|44|82|1|3|1|0|Cloak yourself in mystery with this Pukei-Pukei armor. Perfect for moving quickly and sneaking up on prey in tall grass.
Barroth Armor|high_resist|extra_weak|weak|resist|neutral|neutral|PS_036_00 (Potential (S))|72|122|2|3|1|0|Tough. Very tough. Made from a Barroth with nothing but toughness in mind. May as well be a fortress. A tough one.
Kadachi Armor|neutral|neutral|extra_weak|high_resist|neutral|neutral|PS_009_00 (Thunder Atk Boost (S))|38|64|2|3|1|0|Armor made from the pale-blue scales and white fur of a Tobi-Kadachi. Enjoy the view—its helmet won't block your vision.
Anja Armor|neutral|high_resist|extra_weak|neutral|neutral|neutral|PS_013_00 (Fire Def Boost (S))|48|82|2|3|1|0|Armor richly embellished with the fire-resistant hide of an Anjanath.
Fulgur Anja Armor|neutral|neutral|weak|high_resist|extra_weak|resist|PS_051_00 (Weak Point (S))|118|150|1|3|1|0|Fulgur Anjanath armor. Sports a distinctive striped pattern on a gray background, like lightning against frozen wasteland.
Rathian Armor|neutral|high_resist|neutral|neutral|neutral|extra_weak|PS_005_00 (Den Protector (S))|34|62|2|3|1|0|Armor made from the Queen of the Land, a Rathian. Covered in scales that are impervious to common metals.
Rath Heart Armor|neutral|high_resist|resist|weak|neutral|extra_weak|PS_042_00 (Self-Heal (S))|48|108|2|3|1|0|Armor reminiscent of the falling petals of the cherry blossom tree. Its beauty will draw even the eyes of monsters.
Lumu Armor|neutral|extra_weak|high_resist|neutral|neutral|neutral|PS_004_00 (Divine Blessing (S))|26|62|1|3|1|0|Armor made to resemble the fluffy white Paolumu, including a cute hat that looks like the monster in its inflated state.
High Metal Armor|resist|neutral|weak|extra_weak|high_resist|neutral|PS_000_00 (Health Boost (S))|106|138|3|3|1|0|Armor made from rare ore. Very difficult to damage.
Legiana Armor|neutral|extra_weak|resist|weak|high_resist|neutral|PS_048_00 (Quick (S))|118|160|2|3|1|0|With this armor, you can look as if you are wrapped in Legiana wings. Has a lonesome warrior feel to it.
Odogaron Armor|neutral|high_resist|resist|weak|extra_weak|neutral|PS_024_00 (Antibleed (S))|74|124|2|3|1|0|Blood-red Odogaron armor. Drives any who wear it into a frenzied hunt for prey.
Death Garon Armor|neutral|weak|weak|weak|weak|high_resist|PS_031_00 (Salt in Wound (S))|124|164|1|3|1|0|Armor crafted from Ebony Odogaron parts. Awakens a latent thirst for cruelty within the wearer.
Rathalos Armor|neutral|high_resist|neutral|weak|resist|extra_weak|PS_052_00 (Partbreaker (S))|132|150|1|3|1|0|Armor of the King of the Skies, Rathalos. It is said that no flame exists which will scorch this armor.
Rath Soul Armor|neutral|high_resist|neutral|resist|weak|extra_weak|PS_045_00 (Critical Kinship (S))|138|168|2|3|1|0|Armor containing the power of the Azure Rathalos, King of the Blue Skies. Those who witness it will never see daybreak again.
Diablos Armor|resist|high_resist|weak|neutral|extra_weak|neutral|PS_036_00 (Potential (S))|100|140|1|3|1|0|Armor made from the carapace of Diablos, tyrant of the desert. The sight of the horns will cause monsters to tremble in fear.
Diablos Nero Armor|resist|high_resist|weak|neutral|extra_weak|neutral|PS_040_00 (Slugger (S))|116|162|2|3|1|0|Unparalleled armor made from a Black Diablos. All who gaze upon its towering form quake in terror.
Damascus Armor|resist|weak|high_resist|extra_weak|neutral|neutral|PS_018_00 (All-Elem Def Boost (S))|134|164|1|3|1|0|Steel armor said to lead its wearer to glory. Rarely glimpsed in a lifetime.
Vangis Armor|neutral|resist|resist|extra_weak|high_resist|extra_weak|PS_047_00 (Tenacity (S))|126|160|1|3|1|0|Made from the still pulsating parts of a Deviljho. Covered with thick and strong scales.
Nargacuga Armor|neutral|weak|resist|extra_weak|high_resist|neutral|PS_002_00 (Evasion Ability (S))|90|132|2|3|1|0|Armor made from a Nargacuga, born of midnight's darkness. Its black cloth melts into the shadows, hiding a wearer's presence.
Nargacuga U Armor|neutral|weak|resist|extra_weak|high_resist|neutral|PS_037_00 (Evasion Instinct (S))|128|154|2|3|1|0|Armor made from a Green Nargacuga, born from the deep forest. Blends into its surroundings as wearers close in on their prey.
Glavenus Armor|neutral|high_resist|extra_weak|resist|weak|neutral|PS_057_00 (Elemental Breaker (S))|96|148|3|3|1|0|Adorn yourself in fiery skin fresh off a Glavenus' back. But beware—this armor only aids those with a strong fighting spirit.
Brachydios Armor|neutral|high_resist|weak|neutral|extra_weak|resist|PS_041_00 (Bombardier (S))|98|150|2|3|1|0|Armor containing the enormous power of a Brachydios. Holds the strength to withstand explosions.
Tigrex Armor|neutral|high_resist|neutral|extra_weak|neutral|neutral|PS_029_00 (HtH Master (S))|98|136|3|3|1|0|Armor made from a Tigrex. A symbol of absolute power. A symbol of wanton destruction.
Tigrex U Armor|neutral|high_resist|extra_weak|neutral|neutral|neutral|PS_006_00 (Non-Elem Atk Boost (S))|132|168|2|3|1|0|Armor made from a Brute Tigrex. Its dark carapace is etched with the memories of absolute power.
Rimeguard Armor|neutral|extra_weak|resist|neutral|high_resist|weak|PS_030_00 (Kinship Skill+ (S))|140|174|1|3|1|0|Adorn yourself in thorny icicles with this gorgeous Velkhana armor that obscures the wearer's eyes.
Tentacle Armor|neutral|extra_weak|high_resist|resist|neutral|weak|PS_054_00 (Stamina Surge (S))|52|174|1|3|1|0|Namielle armor that swathes the wearer in darkness. Only those with a stout heart can resist the madness of the abyss.
Barioth Armor|neutral|extra_weak|resist|weak|high_resist|neutral|PS_022_00 (Sealbreaker (S))|128|160|3|3|1|0|Armor made from a Barioth. The fighting spirit of the frozen wastes lies within its snow-white carapace.
Barioth U Armor|neutral|high_resist|resist|weak|extra_weak|neutral|PS_025_00 (Darkness Resistance (S))|140|164|2|3|1|0|Armor made from the tan hide of a Sand Barioth. Reminiscent of the tornadoes of hot sand blowing through the desert.
Artian Armor|neutral|neutral|weak|extra_weak|resist|high_resist|PS_027_00 (Soul Kinship (S))|104|136|3|3|1|0|Rigid armor made from an unknown metal that astounded artisans when it was excavated.
Zinogre Armor|neutral|neutral|weak|high_resist|extra_weak|resist|PS_039_00 (Partner (S))|124|150|2|3|1|0|Armor made using materials from a Zinogre. With great skill, its peerless power has been sealed within.
Zinogre U Armor|neutral|resist|weak|extra_weak|neutral|high_resist|PS_011_00 (Dragon Atk Boost (S))|134|168|1|3|1|0|Armor made from a Stygian Zinogre, containing the hidden power of dragons. Even monsters will tremble before its power.
Garuga Armor|neutral|high_resist|extra_weak|resist|weak|neutral|PS_033_00 (Vicious (S))|78|132|2|3|1|0|Armor made utilizing the sinister power of the Yian Garuga. Strengthens under every blow.
Sinister Armor|resist|high_resist|extra_weak|weak|neutral|neutral|PS_029_00 (HtH Master (S))|138|162|3|3|1|0|Armor seething with the malice of a Magnamalo. The evil lurking within devours all, even the wearer.
Bishaten Armor|neutral|weak|resist|neutral|extra_weak|high_resist|PS_032_00 (All-Out (S))|44|82|3|3|1|0|Bishaten armor modeled after the robes of ascetics. Said to guide the wearer away from misfortune.
Bishaten U Armor|neutral|high_resist|neutral|weak|extra_weak|resist|PS_038_00 (Vigilance (S))|98|138|3|3|1|0|Blood Orange Bishaten armor given to those who have undergone a trial of self-discipline. Allows the wearer to find evil and cleanse impurity.
Aknosom Armor|neutral|high_resist|extra_weak|neutral|neutral|neutral|PS_043_00 (Dancer (S))|54|100|2|3|1|0|Knightly armor intricately crafted from Aknosom parts. Its elegant design exudes chivalrous grace.
Tetranadon Armor|neutral|neutral|high_resist|extra_weak|neutral|neutral|PS_053_00 (Stamina Boost (S))|44|82|1|3|1|0|Armor made from bulky Tetranadon materials. Enables the wearer to adapt to a variety of environments, much like the monster itself.
Somnacanth Armor|neutral|weak|high_resist|extra_weak|neutral|resist|PS_021_00 (Insomniac (S))|44|100|1|3|1|0|Armor made from a Somnacanth. Those who gaze upon it find themselves befuddled by its hypnotic aura.
Somnacanth U Armor|neutral|extra_weak|neutral|weak|high_resist|resist|PS_010_00 (Ice Atk Boost (S))|62|108|2|3|1|0|Aurora Somnacanth armor that emanates a bitter chill. A single touch will instantly freeze the unwary.
Rakna Armor|neutral|high_resist|weak|neutral|extra_weak|resist|PS_053_00 (Stamina Boost (S))|80|132|2|3|1|0|Like a character from a tragic love story, this Rakna-Kadaki armor is said to beguile all who lay eyes upon it.
Goss Harag Armor|neutral|extra_weak|weak|neutral|high_resist|resist|PS_035_00 (Heroics (S))|108|164|3|3|1|0|Armor made from Goss Harag materials. Its imposing appearance silences crying children and makes hardy warriors shudder with fear.
Almudron Armor|neutral|extra_weak|high_resist|resist|weak|neutral|PS_057_00 (Elemental Breaker (S))|68|118|3|3|1|0|Armor expertly forged from Almudron materials to retain its sturdiness while being extremely lightweight.
Izuchi Armor|neutral|resist|neutral|weak|neutral|neutral|PS_048_00 (Quick (S))|44|82|1|3|1|0|Great Izuchi armor that was once prized by a legendary thief. Some say its wearer can conjure gusts of wind at will.
Bnahabra Armor|neutral|weak|neutral|neutral|neutral|resist|PS_003_00 (Inflict Rate Up (S))|22|62|1|3|1|0|High-quality armor made from a Neopteron. The comfort of its fit feels no heavier than a butterfly landing on one's shoulder.
Arzuros Armor|resist|weak|neutral|neutral|neutral|neutral|PS_018_00 (All-Elem Def Boost (S))|44|82|2|3|1|0|Armor made using materials from an Arzuros. The audacious design utilizes the vambrace-like armor of the Arzuros' forearms.
Ludroth Armor|neutral|extra_weak|high_resist|neutral|neutral|neutral|PS_014_00 (Water Def Boost (S))|26|62|2|3|1|0|Luxurious armor made from the sponge-like mane of the Royal Ludroth. Light, but excels at absorbing heavy impacts.
Ludroth U Armor|neutral|extra_weak|high_resist|neutral|neutral|neutral|PS_028_00 (Antivenom (S))|60|108|2|3|1|0|Armor dyed purple with Purple Ludroth poison. Its spongy materials allow for freedom of movement despite its thickness.
Mizutsune Armor|neutral|neutral|high_resist|extra_weak|resist|weak|PS_043_00 (Dancer (S))|96|138|2|3|1|0|Armor made from the ethereal Mizutsune. Linked to the tale of a man who, so captivated, was blind to the true form of his bride.
Khezu Armor|neutral|extra_weak|neutral|high_resist|resist|neutral|PS_020_00 (Antiparalysis (S))|54|100|1|3|1|0|Armor fashioned from the shining pearl-gray pelt of a Khezu. Textured close to the skin for a soft touch.
Khezu U Armor|neutral|resist|extra_weak|high_resist|neutral|neutral|PS_044_00 (Crit-Heal (S))|62|108|3|3|1|0|Armor overflowing with the rich crimson of a Red Khezu. Beckons with a strange allure.
